id,Country,State/Province,City,Hotel Name,Street 1,Street 2,Postal Code,TelephoneNumber
3f8dc066-2720-4e09-9efc-e06f0305737b,United States,California,Los Angeles,1 Hotel West Hollywood,8490 Sunset Blvd,,90069,
18a72271-1ae8-4bac-a3e0-860775ec3726,United States,Washington,Seattle,ACE Hotel Seattle,2423 1st Ave,,98121,
7d9ddd7e-72cd-459f-a9b3-4935f8a911af,United States,Arizona,Tempe,AC Hotel Phoenix Tempe/Downtown ,100 E. El Rio Salado,,85004,
a26d6245-d5ba-44d5-a5b2-1e9f99952b60,United States,Arizona,Scottsdale,ADERO Scottsdale ,13225 N Eagle Ridge Dr,,85268,
85b9a742-6011-43d1-a692-812e013d28fb,United States,Washington,Seattle,Alexis Royal Sonesta Hotel,1007 1st Ave,,98104,
162346f2-6b3b-4c4b-b75f-7e87fa3f991c,United States,Texas,Austin,Aloft Austin Downtown,109 E 7th St,,78701,
37f1cf9e-1b72-4b64-a953-831bd58294b5,United States,Texas,Dallas,Aloft Dallas Downtown,1033 Young St,,75202,
67088439-9a5b-48a2-af2f-e51d19d60fc2,United States,Oregon,Portland,Aloft Portland at Cascade Station,9920 NE Cascades Pkwy,,97220,
fce5bc19-d92b-413e-8679-3de35c87379c,United States,Texas,San Antonio,Aloft San Antonio Airport,838 Northwest Loop,,78216,
e2ad64bc-6870-4076-ac68-044fe7267864,United States,Texas,San Antonio,Aloft San Antonio Northwest,5630 UTSA Boulevard,,78249,
3d368a60-159b-45b1-8659-655ebce73af9,United States,Arizona,Tucson,Aloft Tucson University,1900 E Speedway Blvd,,85719,
a3848af7-d871-4286-94cf-1bbd4709acbc,United States,California,Los Angeles,Alsace Hotel Los Angeles,5170 W Adams Blvd ,,90016,
4dc82b61-9bab-421b-ba00-79709e8511b2,United States,California,San Diego,Andaz San Diego,600 F St,,92101,sanas-front.office.static@hyatt.com
e9b3a12d-ba03-460c-80be-720681bea1ea,United States,Arizona,Scottsdale,Andaz Scottsdale,6114 N Scottsdale Rd,,85253,
1ec14fda-381e-436b-892e-1e4385ff6a54,United States,California,Los Angeles,Andaz West Hollywood,8401 Sunset Blvd,,90069,
4a32cf83-1f85-458d-a2aa-b6d21c4ec304,United States,California,San Francisco,Argonaut Hotel,495 Jefferson St,,94109,dmarisela@noblehousehotels.com
47f545fa-f82a-4c24-bcee-346c19327beb,United States,Texas,Austin,ARRIVE Austin ,1813 E 6th St,,78702,
0587f97a-de37-4b28-8549-cb92c53e6e36,United States,California,Palm Springs,ARRIVE Palm Springs,1551 N Palm Canyon Dr,,92262,
773529e5-16a2-463c-8130-f0dbecf22ed2,United States,Oregon,Portland,Autograph Collection The Hi-Lo,320 SW Harvey Milk St,,97204,
983e7040-4633-443e-9092-9eccf6c039ee,United States,California,Palm Springs,Avalon Hotel & Bungalows Palm Springs,415 S Belardo Rd,,92262,
10806cb1-84ab-4e88-8f86-099e02a1e0bc,United States,California,San Francisco,Beacon Grand,450 Powell St,,94102,sharless@beacongrand.com
3f551a19-ca24-4006-acb2-6c878c51be0e,United States,California,San Francisco,BEI Hotel San Francisco,50 8th St,,94103,Gilbert.Castaneda@BEIHotelSF.com
a6fcddf1-a346-4672-a28c-366669c125fa,United States,Oregon,Bend,Campfire Hotel,721 NE 3rd St,,97701,
f9ca616f-bfc4-4cd4-99c4-0c2d5aff164d,United States,Texas,Dallas,Canopy by Hilton Dallas Uptown,2950 Cityplace W Blvd,,75204,Estefania.Rivera@Hilton.com
e235c4aa-6857-403d-8afc-a76ceeedfa0a,United States,Oregon,Portland,Canopy by Hilton Portland Pearl District,425 NW 9th Ave,,97209,
c7c7a1d1-c8cb-46bb-a851-1d1156840250,United States,Texas,Dallas,Canvas Hotel Dallas,1325 Botham Jean Blvd,,75215,
ef0cc6be-5974-4075-aee0-41ca48b49f2b,United States,California,Napa-Sonoma,Carneros Resort & Spa,4048 Sonoma Hwy,,94559,
2bbca36c-575a-4a5f-9f6e-fba302f68f7f,United States,California,San Diego,Carte Hotel San Diego Downtown Curio Collection by Hilton,401 W Ash St,,92101,
a6c84e81-216a-449d-ba69-8bca748e3c13,United States,Colorado,Denver,Catbird Hotel,3770 Walnut St,,80205,
20beff5b-d205-4cf4-a53d-f1cc24b4b8ab,United States,Texas,Houston,C Baldwin Curio Collection by Hilton,400 Dallas St,,77002,
069530cf-b4eb-4224-b59c-9516123f89f9,United States,California,Los Angeles,Chamberlain West Hollywood,1000 Westmount Dr ,,90069,
a9828baa-5dcb-4058-9ddc-16e0f103cca6,United States,California,Orange County,Clarion Hotel Anaheim Resort,616 Convention Way,,92802,
e296e723-881a-4765-be43-19fe158e2843,United States,California,Fresno,Clarion Pointe Fresno near Yosemite,4061 N Blackstone Ave Building A,,93726,
5906e686-d61b-4168-b294-16396470e93a,United States,Texas,Houston,Club Quarters Houston,720 Fannin St,,77002,
99b00106-98c3-408f-91cc-13be42ccf45b,United States,California,San Francisco,Club Quarters San Francisco,424 Clay St,,94111,
6f1ab9cf-d13c-4793-b715-ef63cc8a152e,United States,Arizona,Phoenix,Comfort Inn and Suites Phoenix North - Deer Valley,17017 N Black Cyn Hwy,,85023,
1ab1b46d-fe2c-423a-b522-1e2580db6b7d,United States,California,Orange County,DoubleTree by Hilton Santa Ana - Orange County Airport,201 E MacArthur Blvd,,92707,
57b101c1-7589-44b8-a422-93a45343e70e,United States,California,San Jose,Doubletree Hilton San Jose,2050 Gateway Pl,,95110,erica.alcaine@hilton.com
7c7d62d4-6d0c-4b74-a35c-0e2089a4830d,United States,Texas,Austin,Element Austin Downtown,109 E 7th St,,78701,
